Date,Tenant,Industry_Type,Number_of_Floors,Number_of_Employees,Day_of_Week,Acquired_Area,Base_Electricity_Reading,Electricity_Reading,Month
2015-01-24,Nvidia Graphics,Semiconductors,6,0,5,31350.27225087647,0.0,0.0,1
2015-01-25,Target Operation,Consulting,5,0,6,82255.70289564463,0.0,0.0,1
2015-01-26,Colt Technologies,Technology,8,144,0,470980.6193328473,60.10609536433621,108.7195080409738,1
2015-01-27,Monsanto Holdings,Telecommunications,2,72,1,386333.2702978652,61.467437177921845,116.39889449456179,1
2015-01-28,Andritz,Engineering,6,203,2,105823.38138647184,127.84832083901094,230.37155774181474,1
2015-01-29,Jurimatrix,Consulting,4,130,3,226349.06235300525,73.73999758223275,128.6162399791452,1
2015-01-30,Netscout System Software,Software,3,311,4,484544.04893449426,275.60870815561645,492.3180405993777,1
2015-01-31,L and T,Manufacturing,5,0,5,380607.76996919076,0.0,1.1554911849914729,1
2015-02-01,Stylus Commercial Services,IT Services,10,0,6,336825.669668257,0.0,0.0,2
2015-02-02,Jurimatrix,Consulting,2,113,0,226349.06235300525,29.6716501533666,48.64107966698893,2
2015-02-03,TCS,Telecommunications,5,140,1,363434.6900430807,87.12397595140096,175.18982519076928,2
2015-02-04,Monsanto Holdings,Telecommunications,3,91,2,386333.2702978652,70.04882535230938,149.8879856283669,2
2015-02-05,Target Operation,Consulting,6,476,3,82255.70289564463,143.34981673654835,290.7244661145526,2
2015-02-06,Andritz,Engineering,4,233,4,105823.38138647184,181.30031357762988,377.1844390579376,2
2015-02-07,Nvidia Graphics,Semiconductors,5,0,5,31350.27225087647,0.0,4.659645465865826,2
2015-02-08,Andritz,Engineering,7,0,6,105823.38138647184,0.0,0.0,2
2015-02-09,ANZ,Finance,5,78,0,235720.71443058396,39.22994846793675,85.3804172604516,2
2015-02-10,Colt Technologies,Technology,2,311,1,470980.6193328473,123.73875054908395,245.00724897970542,2
2015-02-11,Netscout System Software,Software,3,317,2,484544.04893449426,186.5407071128339,372.52893399699286,2
2015-02-12,Software Software Software,Travel,1,50,3,132242.80313614343,27.657274672558295,63.16104182659287,2
2015-02-13,Alcatel Lucent Technologies,Telecommunications,6,89,4,290068.3522488535,111.71767719095185,224.36460059428592,2
2015-02-14,Nokia Siemens Network India,Technology,7,0,5,94389.6278951662,0.0,0.0,2
2015-02-15,Fidelity,Finance,10,0,6,266099.3903756254,0.0,0.2885610572255884,2
2015-02-16,Justdial,Electronics,2,234,0,28154.41451350742,46.26879857998339,92.2791577032191,2
2015-02-17,Northern Operation Services,Outsourcing,1,425,1,90706.62617261536,93.04127650622002,187.89456335374197,2
2015-02-18,Via.com,Software,5,64,2,30517.733222274303,60.072952837091584,130.0810688986519,2
2015-02-19,ANZ,Finance,4,305,3,235720.71443058396,127.85490265922654,256.7171012385108,2
2015-02-20,Nokia Siemens Network India,Technology,8,156,4,94389.6278951662,124.7568562700036,251.49659610037685,2
2015-02-21,IBM,Engineering,4,0,5,29641.598150655183,0.0,4.6149452644561295,2
2015-02-22,Data Craft India,Consulting,5,0,6,16705.69527864351,0.0,2.804020331123503,2
2015-02-23,Colt Technologies,Technology,8,306,0,470980.6193328473,76.90911568512045,150.0542222646843,2
2015-02-24,Justdial,Electronics,2,410,1,28154.41451350742,147.17651856574003,295.80959255155136,2
2015-02-25,Monsanto Holdings,Telecommunications,1,277,2,386333.2702978652,96.57311607314358,191.23143439725195,2
2015-02-26,Alcatel Lucent Technologies,Telecommunications,8,438,3,290068.3522488535,152.71636861671456,306.2283548876106,2
2015-02-27,Novell,Software,10,404,4,154033.50645799877,320.6804937214912,647.3887215716926,2
2015-02-28,Justdial,Electronics,4,0,5,28154.41451350742,0.0,1.598382292185869,2
2015-03-01,ANZ,Finance,3,0,6,235720.71443058396,0.0,1.5769737991532615,3
2015-03-02,Monsanto Holdings,Telecommunications,5,280,0,386333.2702978652,58.33068283159356,117.41019100723186,3
2015-03-03,Netscout System Software,Software,8,378,1,484544.04893449426,241.24368972054117,482.14211891812147,3
2015-03-04,Alcatel Lucent Technologies,Telecommunications,9,75,2,290068.3522488535,86.79570491346489,162.75744598554192,3
2015-03-05,Jurimatrix,Consulting,6,173,3,226349.06235300525,93.7234729049411,182.75399947502018,3
2015-03-06,Alcatel Lucent Technologies,Telecommunications,1,333,4,290068.3522488535,146.33543887009964,297.017288452122,3
2015-03-07,Jurimatrix,Consulting,7,0,5,226349.06235300525,0.0,5.9728466822192345,3
2015-03-08,Nokia Siemens Network India,Technology,7,0,6,94389.6278951662,0.0,0.26397966516014165,3
2015-03-09,Philips,Technology,6,427,0,67038.4916708522,63.32448946915143,135.4910587053204,3
2015-03-10,Alcatel Lucent Technologies,Telecommunications,6,266,1,290068.3522488535,109.41936464594112,226.9528289986486,3
2015-03-11,Cognizant,IT Services,2,276,2,98532.73588121487,105.72431804300396,220.17516919098364,3
2015-03-12,Philips,Technology,9,86,3,67038.4916708522,71.46868998362869,143.50103177246663,3
2015-03-13,Cerner Health Care Solutions,Healthcare,3,270,4,297737.37737389834,210.92145047547066,419.19349352229017,3
2015-03-14,Jurimatrix,Consulting,7,0,5,226349.06235300525,0.0,0.0,3
2015-03-15,Nvidia Graphics,Semiconductors,4,0,6,31350.27225087647,0.0,0.0,3
2015-03-16,Alcatel Lucent Technologies,Telecommunications,10,170,0,290068.3522488535,55.099745421806354,103.61449736999427,3
2015-03-17,Target Operation,Consulting,10,493,1,82255.70289564463,168.4903179489879,338.21684470636615,3
2015-03-18,Colt Technologies,Technology,8,366,2,470980.6193328473,166.26491308934035,329.23051280741674,3
2015-03-19,Data Craft India,Consulting,5,145,3,16705.69527864351,59.81136840651594,120.15972354148518,3
2015-03-20,Alcatel Lucent Technologies,Telecommunications,7,67,4,290068.3522488535,112.59039387193877,214.5547750921703,3
2015-03-21,Stylus Commercial Services,IT Services,8,0,5,336825.669668257,0.0,0.0,3
2015-03-22,Northern Operation Services,Outsourcing,5,0,6,90706.62617261536,0.0,0.0,3
2015-03-23,Netscout System Software,Software,3,447,0,484544.04893449426,112.38698726341143,227.90834295962736,3
2015-03-24,Jurimatrix,Consulting,3,353,1,226349.06235300525,116.28546117251506,235.309984546901,3
2015-03-25,Justdial,Electronics,10,251,2,28154.41451350742,159.90490366594858,321.83320036320447,3
2015-03-26,Mavenir,Biotechnology,9,90,3,287955.1965214351,114.41465453752667,231.52043235814227,3
2015-03-27,Via.com,Software,5,216,4,30517.733222274303,156.28269630330854,303.8102099510519,3
2015-03-28,Monsanto Holdings,Telecommunications,2,0,5,386333.2702978652,0.0,0.0,3
2015-03-29,Monsanto Holdings,Telecommunications,2,0,6,386333.2702978652,0.0,2.6145917948788844,3
2015-03-30,Monsanto Holdings,Telecommunications,7,474,0,386333.2702978652,82.12453186057718,158.27177644161924,3
2015-03-31,Data Craft India,Consulting,8,169,1,16705.69527864351,81.08410020165708,154.784593014597,3
2015-04-01,Netscout System Software,Software,5,328,2,484544.04893449426,204.48093259170562,409.9078253704339,4
2015-04-02,Novell,Software,1,167,3,154033.50645799877,79.1183805003647,166.40825472428654,4
2015-04-03,Mavenir,Biotechnology,10,431,4,287955.1965214351,306.74639799191385,617.7375848643028,4
2015-04-04,Jurimatrix,Consulting,3,0,5,226349.06235300525,0.0,0.0,4
2015-04-05,TCS,Telecommunications,10,0,6,363434.6900430807,0.0,3.0431802611068557,4
2015-04-06,Novell,Software,4,381,0,154033.50645799877,82.05693749111622,167.34588889795015,4
2015-04-07,Jurimatrix,Consulting,8,89,1,226349.06235300525,86.41768622782192,174.43505578347094,4
2015-04-08,Cerner Health Care Solutions,Healthcare,5,353,2,297737.37737389834,179.4893492733765,360.73190638786747,4
2015-04-09,Software Software Software,Travel,5,122,3,132242.80313614343,61.36620323209647,119.61302748710375,4
2015-04-10,Andritz,Engineering,5,128,4,105823.38138647184,143.71652061153455,290.2410619352637,4
2015-04-11,Nvidia Graphics,Semiconductors,7,0,5,31350.27225087647,0.0,4.51485712946928,4
2015-04-12,TP Vision,Software,10,0,6,311951.2495387996,0.0,2.4139610749688183,4
2015-04-13,Monsanto Holdings,Telecommunications,9,408,0,386333.2702978652,80.56427946523401,154.05367186759693,4
2015-04-14,Fidelity,Finance,7,466,1,266099.3903756254,189.27816398000832,385.975435346614,4
2015-04-15,Cerner Health Care Solutions,Healthcare,1,109,2,297737.37737389834,80.99290613570382,151.7824499974624,4
2015-04-16,IBM,Engineering,7,306,3,29641.598150655183,156.1666196176241,313.0627094051148,4
2015-04-17,Data Craft India,Consulting,10,437,4,16705.69527864351,222.86427600183973,447.7107673062185,4
2015-04-18,Netscout System Software,Software,1,0,5,484544.04893449426,0.0,3.6326574971484216,4
2015-04-19,IBM,Engineering,6,0,6,29641.598150655183,0.0,3.700235488321626,4
2015-04-20,Via.com,Software,7,309,0,30517.733222274303,73.41652983057172,144.2655727170903,4
2015-04-21,Via.com,Software,9,237,1,30517.733222274303,140.3628144064684,276.21791306399695,4
2015-04-22,Monsanto Holdings,Telecommunications,7,320,2,386333.2702978652,134.214205110798,264.9406042143956,4
2015-04-23,Target Operation,Consulting,8,112,3,82255.70289564463,75.87872801256533,151.38217154902512,4
2015-04-24,Nvidia Graphics,Semiconductors,2,440,4,31350.27225087647,167.0487315968396,332.90877214049425,4
2015-04-25,Monsanto Holdings,Telecommunications,1,0,5,386333.2702978652,0.0,6.224024054746135,4
2015-04-26,Colt Technologies,Technology,7,0,6,470980.6193328473,0.0,2.5702759832219124,4
2015-04-27,Via.com,Software,9,116,0,30517.733222274303,52.388232752877805,104.92103497316548,4
2015-04-28,Andritz,Engineering,9,497,1,105823.38138647184,244.07071962980584,473.4422577123744,4
2015-04-29,Software Software Software,Travel,2,351,2,132242.80313614343,91.5474532214504,179.31950238901783,4
2015-04-30,Data Craft India,Consulting,4,203,3,16705.69527864351,66.90227900489631,137.73798944701906,4
2015-05-01,Philips,Technology,10,231,4,67038.4916708522,159.20294949325867,317.1458364088519,5
2015-05-02,Mavenir,Biotechnology,9,0,5,287955.1965214351,0.0,1.6180834388070098,5
2015-05-03,Andritz,Engineering,9,0,6,105823.38138647184,0.0,0.0,5
2015-05-04,Fidelity,Finance,3,162,0,266099.3903756254,45.24407626665112,81.83249129679936,5
2015-05-05,Cognizant,IT Services,7,158,1,98532.73588121487,107.69643782118284,220.65211961273718,5
2015-05-06,Netscout System Software,Software,5,233,2,484544.04893449426,176.54123717379062,349.34639215551647,5
2015-05-07,Andritz,Engineering,8,61,3,105823.38138647184,98.87146260390762,200.20966626981442,5
2015-05-08,Mavenir,Biotechnology,7,308,4,287955.1965214351,233.12526339329338,472.52736643165616,5
2015-05-09,Cognizant,IT Services,3,0,5,98532.73588121487,0.0,0.0,5
2015-05-10,TP Vision,Software,8,0,6,311951.2495387996,0.0,0.0,5
2015-05-11,TP Vision,Software,5,58,0,311951.2495387996,49.846714263970924,97.67678978276479,5
2015-05-12,Jurimatrix,Consulting,7,124,1,226349.06235300525,88.56644701520992,175.32904994327447,5
2015-05-13,Jurimatrix,Consulting,8,479,2,226349.06235300525,170.2193569359537,336.8564695516586,5
2015-05-14,Cognizant,IT Services,3,224,3,98532.73588121487,98.11757032717111,196.81334890602471,5
2015-05-15,Stylus Commercial Services,IT Services,9,255,4,336825.669668257,272.47960607062083,544.5889129818968,5
2015-05-16,Jurimatrix,Consulting,1,0,5,226349.06235300525,0.0,4.448580816534001,5
2015-05-17,Data Craft India,Consulting,9,0,6,16705.69527864351,0.0,3.8352122125769124,5
2015-05-18,TP Vision,Software,5,480,0,311951.2495387996,111.90224829744528,226.19114460513057,5
2015-05-19,Northern Operation Services,Outsourcing,7,472,1,90706.62617261536,130.0434141471805,257.0050272979909,5
2015-05-20,Andritz,Engineering,2,263,2,105823.38138647184,115.24968682374862,226.78635526910168,5
2015-05-21,TCS,Telecommunications,2,320,3,363434.6900430807,107.60228864028032,219.76452845712376,5
2015-05-22,Data Craft India,Consulting,7,134,4,16705.69527864351,101.71327099093924,205.26045934499214,5
2015-05-23,Software Software Software,Travel,3,0,5,132242.80313614343,0.0,4.7802976878846835,5
2015-05-24,Netscout System Software,Software,10,0,6,484544.04893449426,0.0,0.0,5
2015-05-25,Netscout System Software,Software,4,373,0,484544.04893449426,105.18148686615966,208.7408113424251,5
2015-05-26,Netscout System Software,Software,10,333,1,484544.04893449426,242.71420000569458,483.13865554102216,5
2015-05-27,TCS,Telecommunications,4,75,2,363434.6900430807,69.5711365037901,138.1757995185157,5
2015-05-28,Cognizant,IT Services,2,350,3,98532.73588121487,126.57244141232361,252.6549816789387,5
2015-05-29,Netscout System Software,Software,8,276,4,484544.04893449426,315.08966985375844,629.2487264300008,5
2015-05-30,IBM,Engineering,6,0,5,29641.598150655183,0.0,0.0,5
2015-05-31,Software Software Software,Travel,2,0,6,132242.80313614343,0.0,4.604455807323476,5
2015-06-01,Monsanto Holdings,Telecommunications,8,394,0,386333.2702978652,76.76116425158497,158.66788883399175,6
2015-06-02,Northern Operation Services,Outsourcing,6,254,1,90706.62617261536,84.40118345300083,164.42986354298745,6
2015-06-03,TP Vision,Software,3,58,2,311951.2495387996,84.98832567640764,168.59948354468256,6
2015-06-04,Alcatel Lucent Technologies,Telecommunications,10,232,3,290068.3522488535,122.29144690752241,248.46672861382905,6
2015-06-05,ANZ,Finance,4,172,4,235720.71443058396,142.19616980378117,284.1678893283371,6
2015-06-06,Jurimatrix,Consulting,2,0,5,226349.06235300525,0.0,0.0,6
2015-06-07,Northern Operation Services,Outsourcing,1,0,6,90706.62617261536,0.0,5.661588548159702,6
2015-06-08,Cognizant,IT Services,6,244,0,98532.73588121487,62.44102651551372,127.94058212494298,6
2015-06-09,Data Craft India,Consulting,7,458,1,16705.69527864351,137.81138498870013,274.89018757119294,6
2015-06-10,TCS,Telecommunications,6,243,2,363434.6900430807,112.08801427689197,229.91885915518228,6
2015-06-11,Nokia Siemens Network India,Technology,7,150,3,94389.6278951662,77.20983977841664,155.1508904925175,6
2015-06-12,Fidelity,Finance,2,69,4,266099.3903756254,91.9316380663073,187.48969055545535,6
2015-06-13,Philips,Technology,7,0,5,67038.4916708522,0.0,8.922972315174494,6
2015-06-14,Data Craft India,Consulting,5,0,6,16705.69527864351,0.0,3.9883099765287056,6
2015-06-15,TP Vision,Software,10,443,0,311951.2495387996,124.84273880679541,251.93760680317402,6
2015-06-16,Cerner Health Care Solutions,Healthcare,7,291,1,297737.37737389834,176.05342683834138,362.0022328881724,6
2015-06-17,Philips,Technology,6,405,2,67038.4916708522,122.08519564129973,243.60100553521846,6
2015-06-18,Philips,Technology,8,407,3,67038.4916708522,132.87231979785258,272.2025806200853,6
2015-06-19,Mavenir,Biotechnology,6,355,4,287955.1965214351,241.30538945980678,482.49130704964165,6
2015-06-20,Alcatel Lucent Technologies,Telecommunications,1,0,5,290068.3522488535,0.0,0.0,6
2015-06-21,Novell,Software,1,0,6,154033.50645799877,0.0,6.4760460602437675,6
2015-06-22,Justdial,Electronics,9,216,0,28154.41451350742,70.63899932062657,143.2309230038313,6
2015-06-23,Cerner Health Care Solutions,Healthcare,7,225,1,297737.37737389834,157.15585344564838,308.1002868483231,6
2015-06-24,Fidelity,Finance,6,267,2,266099.3903756254,134.50350416797326,273.44464655274396,6
2015-06-25,Cognizant,IT Services,7,58,3,98532.73588121487,79.52329813291301,164.810239336016,6
2015-06-26,L and T,Manufacturing,3,416,4,380607.76996919076,333.0416854984654,666.5755790535304,6
2015-06-27,Nvidia Graphics,Semiconductors,7,0,5,31350.27225087647,0.0,0.0,6
2015-06-28,Justdial,Electronics,4,0,6,28154.41451350742,0.0,0.0,6
2015-06-29,Alcatel Lucent Technologies,Telecommunications,6,195,0,290068.3522488535,47.78606231863516,95.12392099002146,6
2015-06-30,Cerner Health Care Solutions,Healthcare,9,355,1,297737.37737389834,208.69468997117477,417.2754174443904,6
2015-07-01,Jurimatrix,Consulting,7,151,2,226349.06235300525,94.36810114115751,139.392126259477,7
2015-07-02,Software Software Software,Travel,8,479,3,132242.80313614343,146.0304889165179,231.63685535565202,7
2015-07-03,Software Software Software,Travel,1,50,4,132242.80313614343,41.25309474188341,66.50334515719868,7
2015-07-04,Fidelity,Finance,5,0,5,266099.3903756254,0.0,4.280733854984062,7
2015-07-05,Monsanto Holdings,Telecommunications,10,0,6,386333.2702978652,0.0,13.59963357878163,7
2015-07-06,Fidelity,Finance,1,55,0,266099.3903756254,26.048492359308483,38.26550909282137,7
2015-07-07,Philips,Technology,5,207,1,67038.4916708522,75.8250285853135,112.88527022236767,7
2015-07-08,IBM,Engineering,4,156,2,29641.598150655183,85.29930328177359,128.22341306716285,7
2015-07-09,Cerner Health Care Solutions,Healthcare,6,486,3,297737.37737389834,224.7289946680052,335.01567879281447,7
2015-07-10,Mavenir,Biotechnology,2,138,4,287955.1965214351,123.43720931959115,184.83405356070665,7
2015-07-11,Jurimatrix,Consulting,10,0,5,226349.06235300525,0.0,4.85613241571136,7
2015-07-12,Nokia Siemens Network India,Technology,1,0,6,94389.6278951662,0.0,6.443101928843781,7
2015-07-13,TCS,Telecommunications,3,461,0,363434.6900430807,69.98876292182572,107.48738867559207,7
2015-07-14,TCS,Telecommunications,9,356,1,363434.6900430807,148.7539455674569,214.4609077311603,7
2015-07-15,Justdial,Electronics,6,304,2,28154.41451350742,145.3138280632705,210.63486707097493,7
2015-07-16,Justdial,Electronics,10,436,3,28154.41451350742,217.33786082542613,321.1805485886157,7
2015-07-17,IBM,Engineering,1,220,4,29641.598150655183,122.06313900915701,181.74359885094677,7
2015-07-18,Via.com,Software,2,0,5,30517.733222274303,0.0,0.0,7
2015-07-19,Mavenir,Biotechnology,4,0,6,287955.1965214351,0.0,5.7737216130344295,7
2015-07-20,Nokia Siemens Network India,Technology,5,497,0,94389.6278951662,69.41045714397943,106.80219346520849,7
2015-07-21,Nokia Siemens Network India,Technology,3,499,1,94389.6278951662,128.86356891267928,191.90357986853235,7
2015-07-22,Jurimatrix,Consulting,9,96,2,226349.06235300525,93.29372074746351,138.74845330216843,7
2015-07-23,Philips,Technology,1,70,3,67038.4916708522,26.660635794870736,33.602984746994096,7
2015-07-24,Via.com,Software,4,374,4,30517.733222274303,214.62678414611827,322.6276296949793,7
2015-07-25,Monsanto Holdings,Telecommunications,4,0,5,386333.2702978652,0.0,0.0,7
2015-07-26,TP Vision,Software,10,0,6,311951.2495387996,0.0,0.0,7
2015-07-27,Monsanto Holdings,Telecommunications,10,483,0,386333.2702978652,90.31585693612892,132.60688431522146,7
2015-07-28,Cerner Health Care Solutions,Healthcare,10,169,1,297737.37737389834,162.5960639677873,241.97786798925935,7
2015-07-29,Nvidia Graphics,Semiconductors,9,102,2,31350.27225087647,75.89392694966779,110.84276012852251,7
2015-07-30,Nokia Siemens Network India,Technology,4,55,3,94389.6278951662,41.944241574301564,63.9057563238958,7
2015-07-31,TCS,Telecommunications,7,272,4,363434.6900430807,182.89737154203542,283.3221659222994,7
2015-08-01,Cerner Health Care Solutions,Healthcare,3,0,5,297737.37737389834,0.0,0.0,8
2015-08-02,Target Operation,Consulting,7,0,6,82255.70289564463,0.0,3.635576476821222,8
2015-08-03,Cognizant,IT Services,2,298,0,98532.73588121487,55.96120438721166,82.47654368240914,8
2015-08-04,Cerner Health Care Solutions,Healthcare,5,446,1,297737.37737389834,206.11774814489846,311.3599661486432,8
2015-08-05,Monsanto Holdings,Telecommunications,1,480,2,386333.2702978652,136.16452060497699,204.40616011066734,8
2015-08-06,Monsanto Holdings,Telecommunications,2,80,3,386333.2702978652,63.027689573265036,94.3401790006853,8
2015-08-07,Software Software Software,Travel,1,261,4,132242.80313614343,102.9333423430151,150.29825961864813,8
2015-08-08,TP Vision,Software,4,0,5,311951.2495387996,0.0,5.413270515036848,8
2015-08-09,IBM,Engineering,7,0,6,29641.598150655183,0.0,7.754750316728696,8
2015-08-10,Mavenir,Biotechnology,9,143,0,287955.1965214351,63.813288772623416,100.98727269858412,8
2015-08-11,ANZ,Finance,6,376,1,235720.71443058396,157.4430001469776,231.67641649205538,8
2015-08-12,Via.com,Software,2,403,2,30517.733222274303,137.71589589319225,207.7993350621559,8
2015-08-13,IBM,Engineering,1,490,3,29641.598150655183,166.87545853059706,250.92808915161368,8
2015-08-14,IBM,Engineering,7,411,4,29641.598150655183,282.2640565271383,419.25205304133715,8
2015-08-15,Cerner Health Care Solutions,Healthcare,9,0,5,297737.37737389834,0.0,2.922469143141715,8
2015-08-16,Philips,Technology,3,0,6,67038.4916708522,0.0,0.0,8
2015-08-17,Northern Operation Services,Outsourcing,4,269,0,90706.62617261536,38.91359980408007,65.035973192986,8
2015-08-18,Alcatel Lucent Technologies,Telecommunications,3,214,1,290068.3522488535,84.65035786986802,119.92226774124471,8
2015-08-19,Cerner Health Care Solutions,Healthcare,1,310,2,297737.37737389834,138.54460692254162,212.15424628487656,8
2015-08-20,Software Software Software,Travel,1,397,3,132242.80313614343,95.66307821999867,138.362542879956,8
2015-08-21,Monsanto Holdings,Telecommunications,8,210,4,386333.2702978652,175.46452796974143,269.8836814314093,8
2015-08-22,Cognizant,IT Services,7,0,5,98532.73588121487,0.0,4.298366499559813,8
2015-08-23,IBM,Engineering,10,0,6,29641.598150655183,0.0,3.049576337262322,8
2015-08-24,Justdial,Electronics,5,439,0,28154.41451350742,89.73157697093939,130.54902842477156,8
2015-08-25,Mavenir,Biotechnology,10,280,1,287955.1965214351,168.01019126695752,255.2764117597362,8
2015-08-26,Philips,Technology,3,389,2,67038.4916708522,103.20772836733227,156.99984473804034,8
2015-08-27,Novell,Software,1,375,3,154033.50645799877,140.291608362747,217.2049987006098,8
2015-08-28,Nokia Siemens Network India,Technology,2,252,4,94389.6278951662,108.0481338223582,165.14939438044792,8
2015-08-29,Jurimatrix,Consulting,5,0,5,226349.06235300525,0.0,3.762647122769423,8
2015-08-30,Stylus Commercial Services,IT Services,10,0,6,336825.669668257,0.0,4.295198337499471,8
2015-08-31,Philips,Technology,6,429,0,67038.4916708522,63.53193416446976,94.17213206126121,8
2015-09-01,Data Craft India,Consulting,2,471,1,16705.69527864351,113.74526416995458,97.8771375294835,9
2015-09-02,Novell,Software,4,126,2,154033.50645799877,89.11785043940796,84.05109230783023,9
2015-09-03,Stylus Commercial Services,IT Services,5,291,3,336825.669668257,164.64744431399663,149.56724937126083,9
2015-09-04,Philips,Technology,8,235,4,67038.4916708522,144.96959333415333,127.3387637916249,9
2015-09-05,Northern Operation Services,Outsourcing,5,0,5,90706.62617261536,0.0,0.93608301311332,9
2015-09-06,Target Operation,Consulting,3,0,6,82255.70289564463,0.0,0.0,9
2015-09-07,Monsanto Holdings,Telecommunications,8,438,0,386333.2702978652,81.05185833877874,79.4591904093672,9
2015-09-08,Alcatel Lucent Technologies,Telecommunications,5,348,1,290068.3522488535,120.53616296276134,110.95580532515453,9
2015-09-09,ANZ,Finance,8,354,2,235720.71443058396,164.28983262348197,150.09265530097844,9
2015-09-10,Novell,Software,3,175,3,154033.50645799877,96.17629980814438,86.26041832760838,9
2015-09-11,Monsanto Holdings,Telecommunications,9,73,4,386333.2702978652,142.88310521289645,131.25681032627412,9
2015-09-12,Jurimatrix,Consulting,2,0,5,226349.06235300525,0.0,0.0,9
2015-09-13,Nokia Siemens Network India,Technology,5,0,6,94389.6278951662,0.0,0.4003455100155311,9
2015-09-14,Fidelity,Finance,1,70,0,266099.3903756254,27.88246534408644,35.446439644820956,9
2015-09-15,Nvidia Graphics,Semiconductors,5,176,1,31350.27225087647,70.13558065409926,53.05998569034293,9
2015-09-16,Northern Operation Services,Outsourcing,1,413,2,90706.62617261536,90.78733918798893,84.25778774353061,9
2015-09-17,Jurimatrix,Consulting,9,147,3,226349.06235300525,104.25240076314228,103.6707079217526,9
2015-09-18,TP Vision,Software,8,231,4,311951.2495387996,257.4929128807068,236.53364222767306,9
2015-09-19,Colt Technologies,Technology,4,0,5,470980.6193328473,0.0,4.833581715904019,9
2015-09-20,ANZ,Finance,4,0,6,235720.71443058396,0.0,0.0,9
2015-09-21,Nokia Siemens Network India,Technology,10,333,0,94389.6278951662,65.3652855852721,61.31899359769077,9
2015-09-22,Nvidia Graphics,Semiconductors,4,308,1,31350.27225087647,93.83339040893901,74.26009800196009,9
2015-09-23,Colt Technologies,Technology,5,407,2,470980.6193328473,159.2117934485173,137.30471741128645,9
2015-09-24,TCS,Telecommunications,10,496,3,363434.6900430807,180.93415122141013,165.59854368692555,9
2015-09-25,Northern Operation Services,Outsourcing,2,488,4,90706.62617261536,163.43287035668308,137.393615374551,9
2015-09-26,Software Software Software,Travel,2,0,5,132242.80313614343,0.0,0.0,9
2015-09-27,Nokia Siemens Network India,Technology,3,0,6,94389.6278951662,0.0,0.0,9
2015-09-28,Philips,Technology,9,100,0,67038.4916708522,37.18645785904262,30.314559972143595,9
2015-09-29,ANZ,Finance,10,195,1,235720.71443058396,137.63609191137564,120.30646832514628,9
2015-09-30,IBM,Engineering,2,426,2,29641.598150655183,154.5917903657163,137.99269772224588,9
2015-10-01,Fidelity,Finance,8,155,3,266099.3903756254,119.34266082714214,104.08228830133928,10
2015-10-02,Nvidia Graphics,Semiconductors,1,226,4,31350.27225087647,88.09557768550923,84.32383631154539,10
2015-10-03,TCS,Telecommunications,9,0,5,363434.6900430807,0.0,3.2632845931868704,10
2015-10-04,Andritz,Engineering,6,0,6,105823.38138647184,0.0,0.0,10
